MARCAS
# Valencia.
# Temporada 2021.
# Pista. Pruebas: 100ML 200ML 400ML 800ML 1500ML

5 100ML 200ML 400ML 800ML 1500ML  

800ML 05/09/2021   V-356   00:01:23:245
400ML 02/01/2021   A-4547   00:00:41:132
  800ML 15/10/2021   V-134   00:01:20:001
100ML 15/07/2021  CS-863  00:00:11:000
100ML 01/03/2021  CS-659  00:00:12:856	
100ML 01/02/2021   V-1234  00:00:11:045
1500ML 12/04/2021   V-67   00:03:43:129
200ML 12/04/2021   A-67   00:00:23:129
100ML 07/11/2021  CS-123  	00:00:12:000
200ML 05/04/2021    A-389  00:00:23:006 
  200ML 12/04/2021   A-267   00:00:22:898  
100ML 07/11/2021  CS-233    00:00:11:987
200ML 05/04/2021    A-6589  00:00:23:446 
1500ML 12/04/2021   V-6114   00:03:44:974
200ML 12/04/2021   CS-67   00:00:22:979
  800ML 15/10/2021   A-134   00:01:21:000
100ML 15/07/2021  V-689  00:00:11:345


